M.hi.p,M.lo.p,MET.hi.p,MET.lo.p,MET.sp.p,SEC.hi.p,SEC.lo.p,M.hi,M.lo,MET.hi,MET.lo,MET.sp,SEC.hi,SEC.lo
59.25,29.19,63.67,26.03,50.09,58.56,29.19,458,1455,2037,3437,468,156,544
56.26,26.31,60.34,25.54,48.82,54.64,26.31,477,1756,1700,3436,464,151,624
56.26,26.25,60.79,25.69,48.56,57.9,26.25,539,2296,1747,3304,490,178,611
49.33,26.15,55.09,26.46,47.74,49.7,26.15,687,3240,2371,3864,657,217,646
61.34,25.88,65.09,25.72,50.75,63.72,25.88,389,2252,1741,3406,439,141,624
61.4,27.35,67.91,26.17,52.63,68.38,27.35,399,1901,2072,3418,453,149,610
65.83,26.67,69.43,25.38,51.36,67.84,26.67,392,1939,2353,3553,423,134,623
60.34,26.17,65.56,25.64,51.44,63.93,26.17,417,1999,2909,3376,408,148,599
46.77,27.2,53.56,25.94,48.27,46.71,27.2,568,1798,3204,3233,501,195,551
50.1,26.61,56.95,26.04,48.52,53.51,26.61,583,1558,2395,3262,481,170,539
49.42,26.23,55.11,26.17,47.41,52.79,26.23,559,1705,2442,3361,558,177,572
48.36,26.38,51.92,25.96,45.84,47.46,26.38,499,1705,2297,3461,620,183,603
50.62,26.34,55.36,27.16,48.37,51.62,26.34,521,1649,1752,3158,513,176,620
56.82,28.61,61.15,27.48,49.83,55.33,28.61,485,1401,1581,3005,511,160,566
59.61,27.93,65.35,27.42,51.22,61,27.93,474,1602,1495,2996,446,155,572
57.28,27.5,61.36,26.88,49.75,56.67,27.5,439,1509,1860,3166,470,170,553
49.72,31.9,56.7,27.31,49.05,52.84,31.9,532,1927,2901,3374,595,197,581
50.11,28.09,55.92,27.35,48.18,52.98,28.09,379,1925,2900,3174,552,186,569
51.82,29.13,54.77,27.61,48.16,49.2,29.13,346,1534,2846,3043,467,188,551
54.39,28.09,57.75,28.32,49.65,55.86,28.09,452,1687,2352,2858,447,168,572
46.63,27.6,51.01,27.39,47.35,57.31,27.6,530,1899,3017,3008,552,162,561
55.54,27.63,57.78,27.62,48.71,61.9,27.63,484,1725,3641,3055,506,155,540
57.8,27.57,63.79,27.73,50.14,68.29,27.57,506,1439,3740,3116,525,131,596
49.29,28.08,57.15,27.28,48.1,63.66,28.08,482,1476,3690,3190,524,152,555
50.63,28.54,57.69,27.54,48.95,63.07,28.54,445,1395,3635,3044,525,159,566
47.09,29.28,49.54,28.01,46.75,55.85,29.28,469,1243,3222,2878,567,157,527
47.48,29.38,53.9,27.86,48.08,60.84,29.38,476,1217,2678,2928,547,159,508
46.8,28.94,51.78,27.72,46.56,56.37,28.94,526,1171,2360,3054,621,160,538
49.44,27.7,54.44,28.06,47.87,59.22,27.7,494,1215,2015,3074,544,157,570
49.44,28.45,54.73,28.33,47.59,60.62,28.45,418,1174,1712,3001,570,151,571
53.2,27.72,56.51,27.69,49.53,62.19,27.72,433,1319,1641,2999,538,148,600
57.53,28.14,59.3,29.52,48.94,65.1,28.14,350,1316,1582,2665,511,146,549
54.18,27.66,55.51,28.24,48.93,62.49,27.66,385,1511,1662,2901,495,150,592
51.49,27.94,54.05,27.9,49.06,59.55,27.94,425,1589,1716,3062,476,147,592
45.82,29.33,50.85,28.06,47.5,56.5,29.33,571,1383,2359,3075,520,170,545
47.79,27.75,51.86,27.67,48.07,56.71,27.75,535,1446,2565,3057,544,154,570
56.79,28.19,61.95,27.67,49.86,68.07,28.19,430,1464,2761,2965,521,151,535
57.12,27.67,63.8,27.81,50.75,70,27.67,412,1368,2927,2930,447,116,555
54.5,28.22,56.35,27.64,48.4,63.81,28.22,450,1493,3633,3036,533,155,533
56.54,27.81,60.82,27.93,49.87,68.81,27.81,480,1143,3096,3086,480,128,554
50.86,28.6,53.27,28.17,47.42,62.6,28.6,536,1144,3229,3041,544,152,558
48.17,28.48,56.69,28.05,48.45,64.12,28.48,510,1223,2681,2968,525,135,565
48.9,29.05,56.22,27.69,48.52,63.61,29.05,484,1269,2005,2939,468,150,522
53.36,29.27,56.94,27.82,49.23,63.45,29.27,409,1169,1988,2934,458,148,532
54.15,28.87,56.7,28.32,49.59,62.14,28.87,448,1332,2227,2955,492,146,549
47.52,28.36,50.93,28.21,47,55.38,28.36,471,1299,2810,3049,613,165,615
46.22,28.38,53.94,28.24,47.82,58.91,28.38,515,1348,3316,3023,573,162,589
45.49,28.82,49.75,28.58,46.9,56.21,28.82,481,1205,3954,2873,577,152,541
49.68,28,53.66,28.37,47.9,59.93,28,564,1521,4202,3837,575,190,619
39.13,29.67,46.38,27.73,45.28,52.52,29.67,654,1670,4306,3963,580,197,684
50.89,29.01,53.21,27.8,45.8,51.69,29.01,535,1195,3588,3044,542,178,525
55.39,29.07,53.85,28.33,46.48,53.44,29.07,488,1126,2949,3019,521,178,534
55.5,26.79,56.72,25.74,46.88,56.96,26.79,433,1356,3190,3453,531,165,603
58.53,26.02,59.08,27.47,47.49,58.8,26.02,407,1444,3023,3028,504,150,646
57.22,25.92,59.28,26.53,48.41,58.49,25.92,484,1386,2792,3133,477,154,654
57.16,25.96,58.46,26.23,47.96,55.47,25.96,474,1543,3280,3841,550,180,724
65.35,28.53,63.79,27.62,49.19,66.56,28.53,456,1141,1440,3102,470,127,514
64.44,29.1,64.36,29.02,49.42,65.44,29.1,450,1008,1421,2917,452,135,527
68.09,27.84,66.48,27.5,49.46,66.35,27.84,348,1178,1502,3099,474,142,551
59.22,28.08,63.84,27.94,48.88,61.88,28.08,370,1182,1841,2943,454,151,574
59.87,28.87,60.93,29.33,48.41,59.24,28.87,395,1196,2363,2716,536,156,563
56.03,28.22,59.47,29.41,47.65,60.07,28.22,483,1101,2781,2759,573,157,579
57.37,28.74,56.65,28.08,47.57,56.25,28.74,455,1067,4145,3031,530,170,545
61,27.88,60.64,28.69,47.74,61.82,27.88,420,1072,4358,2939,514,156,566
53.22,27.8,55.25,27.54,46.22,52.87,27.8,419,1344,4288,3063,547,161,571
55.63,27.55,57.54,28.13,47.88,59.35,27.55,468,1237,3796,2911,525,154,591
62.19,27.99,61.69,27.52,47.84,61.39,27.99,500,1231,3057,3005,523,145,544
60.86,28.16,59.87,27.61,48.69,61.55,28.16,509,1425,2336,3043,491,146,559
58.01,28.64,57.74,27.78,47.47,59.7,28.64,586,1500,2822,3665,597,193,618
52.34,28.28,54.82,28.39,46.37,53.14,28.28,501,1256,1607,2976,542,176,563
54.05,27.86,55.26,28.29,46.22,53.82,27.86,448,1328,1795,2954,581,171,573
53.05,30.13,55.3,27.61,47.09,56.07,30.13,407,1335,1973,3010,570,157,543
51.72,28.09,53.31,27.52,46.19,57.38,28.09,459,1310,2768,3017,564,162,583
60.4,27.38,55.69,27.48,47.73,55.18,27.38,434,1307,2588,3057,550,155,580
61.48,27.44,60.99,27.4,48.63,62.71,27.44,448,1508,2623,3122,526,155,577
59.31,27.69,58.16,28.72,48.2,56.36,27.69,461,1581,2396,2914,541,152,570
59.82,27.85,63.08,28.3,47.39,59.03,27.85,492,1714,1873,2936,524,160,561
49.92,28.6,52.52,28.01,44.8,51.39,28.6,547,1729,2313,2933,608,181,551
56.87,27.51,57.67,27.9,47.25,54.85,27.51,498,2041,2037,2957,615,167,583
53.87,28.72,54.7,29.15,45.89,54.18,28.72,443,1649,2251,2820,578,171,543
57.85,27.74,55.99,28.41,47.59,55.35,27.74,388,1928,2565,2965,521,173,579
58.43,29.86,57.89,27.48,48.2,59.36,29.86,453,1615,2813,3096,500,155,522
58.31,28.65,57.93,27.46,48.03,59.88,28.65,469,1413,2196,3039,551,159,572
64.62,28.91,60.72,27.42,48.22,59.62,28.91,448,1611,1628,3025,537,150,524
60.62,27.96,61.15,27.52,48.71,57.83,27.96,454,1701,1514,3051,520,167,553
64.95,29.17,63.09,28.03,48.85,63.16,29.17,431,1756,1435,3028,486,133,542
52.71,28.7,53.62,29.13,45.81,51.91,28.7,454,1763,1748,2866,537,177,564
55.21,28.3,57.76,28.27,47.08,54.76,28.3,400,1910,1745,2935,467,163,559
58.36,27.64,59.65,28.03,48.1,56.17,27.64,408,1861,1976,2924,526,157,558
60.28,27.83,58.94,27.83,48.36,58.43,27.83,372,1850,2063,2973,473,160,559
60.72,30.06,63,27.85,48.32,64.52,30.06,409,1369,3394,3036,526,145,504
55.9,28.53,57.91,28.5,46.81,57.98,28.53,433,1531,4353,2986,531,154,543
58.65,27.23,57.54,26.97,47.02,55.31,27.23,449,1552,4505,3218,501,168,575
54.1,27.89,56.62,29.49,45.81,56.28,27.89,508,1296,3382,2733,570,158,575
53.97,27.61,57.5,28.95,48.06,53.72,27.61,483,1232,2858,2753,542,180,592
60.46,27.5,60.15,27.44,47.49,60.85,27.5,442,1304,2219,3029,554,152,546
61.25,27.97,63.05,28.77,49.35,62.18,27.97,418,1072,1800,2916,528,157,533
58.81,27.74,57.12,27.49,47.71,55.13,27.74,347,1293,1496,3156,510,163,571
56.93,28.68,59.83,28.05,46.75,59.28,28.68,371,1120,1446,3005,585,164,549
54.73,30,56.66,28,46.42,60.13,30,414,1107,1570,2925,530,144,500
57.27,30.06,57.82,28.38,47.22,59.46,30.06,662,1845,3862,3843,673,183,605
53.79,29.8,55.08,29.48,47.83,56.04,29.8,676,1954,4521,3745,678,191,642
50.92,29.38,51.68,28.18,45.51,53.2,29.38,455,1408,3521,3029,559,168,581
49.65,28.21,53.99,28.05,46.61,52.09,28.21,374,1482,3997,3063,545,169,562
58.74,28.37,59.12,28.12,48.11,60.44,28.37,324,1533,4382,2978,486,148,522
56.26,28.52,57.95,29.17,48.01,58.34,28.52,393,1995,4362,2747,489,166,509
52.7,28.75,56.73,28.77,46.42,57.72,28.75,499,1906,4646,2807,559,151,524
57.14,28.13,56.81,28.69,46.89,53.71,28.13,598,2458,5023,3888,640,281,712
54.88,27.12,56.56,27.37,47.01,55.32,27.12,476,1819,2435,3156,511,154,619
56.41,27.19,58.42,27.92,46.84,56.65,27.19,406,1806,1741,3041,584,160,591
53.97,28.61,57.67,28.39,47.25,58.43,28.61,453,1761,1501,2890,541,156,541
51.37,30.07,54.73,28.04,46.96,53.64,30.07,407,1495,1503,2906,553,180,497
56.89,28.07,58.48,28.46,47.46,52.38,28.07,439,1732,1934,2874,584,174,576
57.22,27.46,56.39,26.67,46.78,57.14,27.46,502,1731,2394,3260,540,156,567
55.96,27.22,57.48,25.8,48.31,58.19,27.22,495,1809,3244,3461,534,165,615
51.63,28.09,55.78,27.12,45.97,53.34,28.09,544,1612,3855,3148,618,161,602
55.49,27.8,58.51,26.05,46.51,54.22,27.8,501,1624,3610,3252,598,168,553
59.49,27.23,61.82,27.61,47.71,61.57,27.23,379,1976,3556,2976,565,141,560
60.28,28.29,57.57,28.24,47.59,57.23,28.29,323,1858,3057,2952,587,166,538
58.93,28.45,57.89,27.9,49.03,63.17,28.45,388,1835,2232,3084,532,149,535
60.52,29.53,57.73,28.94,48.21,56.96,29.53,563,2161,3717,3907,682,273,712
55.41,27.28,55.43,27.36,47.39,55.08,27.28,471,1804,1730,3076,538,180,611
54.71,27.64,55.14,26.69,46.88,53.15,27.64,502,1574,2101,3131,616,164,567
53.47,27.87,52.68,28.8,45.97,52.89,27.87,502,1533,2921,2817,603,171,543
51.79,30.42,54.28,27,46.3,52.47,30.42,469,1664,3613,3194,557,175,529
54.87,28.05,59.03,27.01,46.47,57.71,28.05,410,1770,3493,3244,532,153,541
59.89,28.13,65.32,27.46,46.47,62.28,28.13,401,1881,3415,3111,527,146,539
62.08,29.38,63.85,27.77,46.92,60.06,29.38,416,1817,3163,2977,542,157,495
59.56,28.57,62.92,27.98,46.18,63.12,28.57,397,1812,3498,2918,555,145,563
55.26,27.92,59.82,28.38,46.44,55.17,27.92,384,1862,4078,2907,536,169,585
60.41,27.93,60.13,28.86,46.02,57.25,27.93,406,1858,3592,2903,568,165,582
63.38,28.96,62.62,27.98,47.97,61.63,28.96,362,1868,2744,3055,499,140,565
63.09,27.74,63.7,27.05,46.74,65.34,27.74,368,1938,2333,3149,521,142,569
58.32,28.96,61.55,28.62,46.96,60.74,28.96,375,1916,1868,2824,535,150,549
70.49,27.56,66.95,27.5,48.33,70.03,27.56,354,2013,1519,3008,520,131,581
60.93,27.86,64.3,27.81,46.63,62.3,27.86,444,2000,1290,3021,566,163,582
61.05,28.65,63.04,27.58,47.71,62.97,28.65,483,1849,1107,3124,620,134,572
62.82,30.3,62.45,27.97,47.53,62.28,30.3,479,1462,1010,3048,570,161,504
57.13,28.22,58.45,28.29,45.46,57.15,28.22,525,1514,1049,2915,552,143,523
61.91,28.27,63.53,28.4,47.27,63.02,28.27,419,1749,1079,2847,516,144,548
61.12,29.92,63.06,28.09,47.41,64.36,29.92,407,1322,1458,2927,550,134,542
55.5,29.08,60.36,28.28,45.65,58.51,29.08,395,1417,1683,2972,526,155,541
62.47,28.44,65.43,28.68,48.04,66.11,28.44,398,1361,1964,2951,516,135,554
58.71,28.62,61.98,27.96,47.2,60.75,28.62,392,1355,2301,3020,545,157,540
57.95,29.61,59.96,26.75,45.61,57.76,29.61,449,1360,2248,3144,527,154,535
62.74,27.26,62.02,27.95,46.99,63.22,27.26,440,1617,2245,2924,535,135,582
59.15,28.67,63.42,27.88,47.55,59.57,28.67,477,1635,2420,2999,538,162,535
66.16,28.33,66.61,29.12,47.59,64.53,28.33,420,1411,2604,2876,539,139,569
64.49,28.58,65.63,28.24,47.74,64.91,28.58,397,1146,2439,3013,510,133,527
58.4,28.58,60.15,28.35,45.59,59.01,28.58,453,1174,2530,2924,567,157,550
60.25,28.8,62.4,28.79,47.05,65.17,28.8,381,1020,2595,2807,478,142,573
58.83,29.37,59.56,29.02,45.23,61.44,29.37,434,1060,2335,2788,551,143,537
57.91,28.35,59.82,27.67,45.08,57.82,28.35,653,1871,2984,3761,694,263,659
58.38,28.33,59.66,28.14,46.16,61.8,28.33,670,1881,2988,3722,705,243,645
54.75,28.41,56.81,28.62,45.16,52.34,28.41,507,1356,2118,2913,648,185,531
54.71,28.98,56.42,28.52,44.14,53.4,28.98,587,1490,1835,2873,652,183,527
68.11,28.95,67.42,28.75,47.16,61.9,28.95,453,1406,1644,2811,591,145,547
62.95,28.48,64.89,28.71,47.23,65.4,28.48,493,1454,1771,2860,567,133,575
61.42,28.67,61.08,28.96,47.42,62.06,28.67,467,1473,2033,2894,613,145,559
57.07,29.79,59.56,30.41,45.56,58.89,29.79,377,1294,2216,2701,623,155,539
58.18,28.52,61.16,28.67,45.92,58.67,28.52,361,1602,2164,2885,606,160,550
59.06,28.84,57.52,26.96,45.86,57.83,28.84,316,1706,1795,3102,547,155,564
61.8,28.58,62.93,28.82,46.48,60.47,28.58,350,1469,1436,2806,550,153,563
61.91,29.03,62.59,29.09,47.47,63.95,29.03,408,1361,1516,2823,546,136,501
59.22,29.17,62.88,28.13,46.58,60.89,29.17,419,1434,1580,3027,570,152,506
56.88,26.47,59.55,27.18,45.65,57.35,26.47,475,1584,2213,3180,599,158,610
58.96,27.35,60.54,27.81,45.67,58.85,27.35,496,1420,2540,3011,620,157,609
56.59,29.25,61.61,29.53,47.72,57.71,29.25,587,1221,2753,2708,541,164,550
61.74,28.15,60.31,28.86,45.93,60.98,28.15,498,1862,2433,2815,603,148,586
57.8,27.09,59.14,27.83,44.88,58.47,27.09,433,1780,2718,3031,571,160,582
62.39,28.59,64.43,28.46,47.01,59.49,28.59,394,1773,2496,2966,533,153,552
60.84,28.31,59.84,28.2,46.28,59.49,28.31,413,1693,1711,2984,566,151,584
55.98,28.25,55.89,28.1,45.6,55.96,28.25,462,1631,1326,2940,658,168,588
59.34,29.21,59.81,29.24,46.34,57.81,29.21,604,2316,2396,3761,750,244,629
53.49,28.33,57.17,28.38,45.08,58.14,28.33,525,1648,1445,2928,557,155,521
58.3,28.17,58.44,28.52,45.77,56.21,28.17,409,1854,1444,2951,527,168,556
